"Groupe";"pid";"Etablissement";"Groupe.détaillé";"Comparable";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.IMO.P.batiments";"kpi.IMO.S.état_satisfaisant";"kpi.IMO.S.énergie_ABC";"kpi.IMO.S.GES_ABC";"kpi.IMO.S.propriété_propre";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper";"kpi.K.dotPetu"
"Ecoles d'ingénieurs";"dj88d";"Institut national des sciences appliquées de Toulouse";"Ecoles d'ingénieurs";TRUE;2017;271;204;166;55;2;2953;25;2716;212;170;464;268;108;88;213;56443287;42900060;40441672;2854872;8384135;12464667;37;30;13;19;0;0,716501007462588;20592,2243706676;966,770064341348;50506,8373493976;7,51550529004013;0,56734693877551;0,631292517006803;14754,349507479
"Ecoles d'ingénieurs";"dj88d";"Institut national des sciences appliquées de Toulouse";"Ecoles d'ingénieurs";TRUE;2018;270;206;168;56;8;3032;21;2799;212;126;480;285;110;85;204;57834170;43596618;40466584;3760656;8411175;10900056;37;30;13;19;0;0,699700263702237;20508,5709219858;1240,32189973615;50066,5178571429;7,5886524822695;0,546666666666667;0,64;14349,8524822695
"Ecoles d'ingénieurs";"dj88d";"Institut national des sciences appliquées de Toulouse";"Ecoles d'ingénieurs";TRUE;2019;273;203;174;57;13;3023;23;2788;212;128;496;294;112;90;201;56560445;44100346;40751459;3258553;7990773;6208429;37;30;13;19;0;0,720493960045753;20121,1117040199;1077,92027786967;45923,9827586207;7,68409818569904;0,525357607282185;0,644993498049415;14497,1394521523
"Ecoles d'ingénieurs";"dj88d";"Institut national des sciences appliquées de Toulouse";"Ecoles d'ingénieurs";TRUE;2020;280;201;167;64;15;3054;1;2831;222;68;488;287;111;90;201;58912297;44972866;41499988;3279491;9736933;5280180;37;31;14;19;0;0,704436766402098;20802,364759887;1073,83464309103;58304,9880239521;7,6271186440678;0,5234375;0,635416666666667;14653,9505649718
"Ecoles d'ingénieurs";"dj88d";"Institut national des sciences appliquées de Toulouse";"Ecoles d'ingénieurs";TRUE;2021;276;200;169;64;12;3052;22;2832;198;107;358;160;112;86;208;62855014;48093618;42383392;3442952;10910062;10538109;37;31;14;19;0;0,674304073816609;22023,4807288017;1128,09698558322;64556,5798816568;7,4281709880869;0,643533123028391;0,564668769716088;14850,5227750526
"Ecoles d'ingénieurs";"dj88d";"Institut national des sciences appliquées de Toulouse";"Ecoles d'ingénieurs";TRUE;2022;NA;NA;NA;NA;NA;3077;22;2858;197;107;NA;NA;NA;NA;NA;67842453;51117669;43127526;4009978;10586361;17708008;37;31;14;19;0;0,635701158977845;23556,4072916667;1303,21026974326;NA;NA;NA;NA;14974,8354166667
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2006;NA;NA;NA;NA;NA;4935;40;4073;822;68;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2007;NA;NA;NA;NA;NA;4874;40;4017;817;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2008;NA;NA;NA;NA;NA;4965;27;4134;804;83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2009;NA;NA;NA;NA;NA;4244;24;4214;6;62;NA;NA;NA;NA;NA;111291550,56;73658714,28;71659433,15;8612433,82;5618715,69;6347137,98;NA;NA;NA;NA;NA;0,643889251155384;26260,3941859368;2029,31993873704;NA;NA;NA;NA;16908,785547428
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2010;NA;382;NA;NA;NA;4357;27;4312;18;65;NA;NA;NA;NA;NA;111180685,63;77691726,4999999;73796420,76;9049588,34;3549301,45;NA;NA;NA;NA;NA;NA;0,663752164702314;25623,5735492049;2077,02280009181;NA;NA;NA;NA;17007,7024106937
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2011;NA;385;NA;NA;NA;4488;29;4459;0;86;NA;NA;NA;NA;NA;114664388,14;79533843,8500001;75382779,2;8834713,03;2936664,23;8918817,41;NA;NA;NA;NA;NA;0,657421021668568;25549,1060918004;1968,51894607843;NA;NA;NA;NA;16796,51942959
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2012;609;394;347;193;22;4438;36;4402;0;101;NA;NA;NA;NA;NA;112596954,7;81162430,1906613;75701531,42;7975455,45;8253189,45;8898087,91;NA;NA;NA;NA;NA;0,672323080332829;25371,1029067147;1797,08324695809;23784,4076368876;9,37359170797657;NA;NA;17057,5780576836
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2013;595;384;341;189;22;4691;32;4651;8;91;NA;NA;NA;NA;NA;109856144,4;81628554,102125;75556259,04;8103461,97;9137669,78;11334988;NA;NA;NA;NA;NA;0,687774538717563;23458,4976297245;1727,4487252185;26796,6855718475;8,66965620328849;NA;NA;16134,1573862908
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2014;583;389;337;179;15;4759;21;4727;11;89;NA;NA;NA;NA;NA;110125174;81724699;75641779;NA;NA;6158198;NA;NA;NA;NA;NA;0,686870914728362;23194,0130581297;NA;NA;8,50884582982308;NA;NA;15931,2929654591
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2015;554;375;314;164;4;4903;41;4862;0;117;669;295;231;143;369;113186405;79482881;76106595;NA;NA;3856718;NA;NA;NA;NA;NA;0,672400497215191;23085,1325718948;NA;NA;7,72996124821538;0,608340147179068;0,547015535568275;15522,4546196206
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2016;522;367;313;140;5;5073;39;5034;0;123;642;286;230;126;352;106636060;76787941;77220051;NA;NA;4943794;41;36;8;18;0;0,724145762699785;21020,3153952296;NA;NA;7,33293908929627;0,617697594501718;0,551546391752577;15221,7723240686
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2017;541;354;302;169;7;5134;27;5107;0;89;651;284;240;127;334;109249402;77215790;78475159;10665843;6228896;5584524;48;36;8;18;0;0,718312023346361;21279,5874561745;2077,49181924425;20625,4834437086;7,03155434359174;0,577181208053691;0,546140939597315;15285,3835216206
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2018;570;359;319;193;18;5353;27;5326;0;86;705;334;240;131;343;112726721;79902897;78312246;8296923;7756891;8439882;41;34;6;13;0;0,694708808215933;21058,6065757519;1549,95759387259;24316,2727272727;7,04277974967308;0,550588235294118;0,552941176470588;14629,5994769288
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;110755560;81215161;78884638;6943156;13829153;13558780;40;20;21;32;0;0,712240884340253;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;116509587;81932217;80700121;11364943;10986840;13257187;38;18;22;33;0;0,69264790201342;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;20;22;32;0;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"2ALYK";"Institut polytechnique de Grenoble";"Ecoles d'ingénieurs";TRUE;2022;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;135340965;96646507;83501536;15573459;13971122;24446006;38;21;22;32;0;0,616971631612055;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2006;NA;NA;NA;NA;NA;3250;29;2661;560;91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2007;NA;NA;NA;NA;NA;3175;28;2617;530;113;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2008;NA;NA;NA;NA;NA;3233;31;2668;534;104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2009;NA;NA;NA;NA;NA;3417;37;2792;588;149;NA;NA;NA;NA;NA;86491280,23;58116377,86;54243319,81;7449134,08;7368921,12;9479997,69;NA;NA;NA;NA;NA;0,627153623645698;30573,0930470131;2180,02167983611;NA;NA;NA;NA;19174,0260904913
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2010;NA;296;NA;NA;NA;3498;22;2874;602;135;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2011;NA;299;NA;NA;NA;3559;12;2913;634;120;NA;NA;NA;NA;NA;91633457,7;61161990,21;56047506;7661139,14;6876993,88;3779055,59;NA;NA;NA;NA;NA;0,61164892613236;31327,6778461538;2152,61004214667;NA;NA;NA;NA;19161,5405128205
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2012;386;296;293;63;26;3530;12;3003;515;111;NA;NA;NA;NA;NA;90063705,87;61863345,5258954;56768636,56;8107375,83;9834678,77;6157289,08;NA;NA;NA;NA;NA;0,630316463348079;29871,8759104478;2296,70703399433;33565,456552901;10,6799336650083;NA;NA;18828,7351774461
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2013;428;304;283;115;8;3616;9;3072;535;105;NA;NA;NA;NA;NA;90468937,86;62441066,0234242;56740714,2;9780384,35;8322144,12;10639725,77;NA;NA;NA;NA;NA;0,627184484997556;29363,4981694255;2704,75230918142;29406,8696819788;10,126582278481;NA;NA;18416,3304771178
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2014;463;300;279;156;6;3653;38;3063;552;126;NA;NA;NA;NA;NA;87567283;62539247;55344568;9938278,2;9124576,21;6689672;NA;NA;NA;NA;NA;0,632023355115403;28238,4014833925;2720,57985217629;32704,5742293907;9,86778458561754;NA;NA;17847,3292486295
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2015;436;303;275;123;9;3681;52;3085;544;142;459;151;141;167;309;88261325;63527877;56917159;NA;NA;9065556;NA;NA;NA;NA;NA;0,644870887673621;28135,583359898;NA;NA;9,94580809690787;0,683798882681564;0,512849162011173;18143,8186165126
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2016;449;292;263;156;0;3762;60;3141;561;157;675;357;157;161;304;93790790;66968124;58579511;NA;NA;10376717;41;31;2;7;1;0,62457636831932;29300,4654795376;NA;NA;9,1221493283349;0,530249110320285;0,600533807829182;18300,3783192752
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2017;462;291;262;166;0;3751;10;3209;532;94;674;354;147;173;311;97374883;66184229;57340766;8646211;9408269;12204902;41;31;2;7;1;0,588866083669646;30250,0413171792;2305,04158890962;35909,4236641221;9,04007455731594;0,529929577464789;0,59330985915493;17813,2233612923
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2018;451;283;259;162;5;3881;23;3306;552;78;501;226;127;148;299;90721035;65746360;57984190;8848836;9192897;5123025;47;31;2;7;1;0,63914824163988;27251,7377590868;2280,04019582582;35493,8108108108;8,65124662060679;0,611344537815126;0,526260504201681;17417,9002703515
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2019;425;293;264;132;0;3988;26;3442;520;97;501;226;126;149;299;90703225;64661995;58238674;9067302;9808785;5837618;44;30;2;7;1;0,642079418896076;26154,3324682814;2273,64643931795;37154,4886363636;8,44867358708189;0,639308855291577;0,541036717062635;16793,1585928489
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2020;470;286;263;169;14;4083;11;3579;493;86;462;176;142;144;288;94049526;66361132;59595631;10052847;10544842;7155200;44;30;2;7;1;0,633662215373632;26197,6395543175;2462,1227038942;40094,4562737643;8,35654596100279;0,61587982832618;0,495708154506438;16600,4543175487
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2021;468;283;261;175;8;4158;12;3668;478;125;479;190;146;143;284;101617831;71289639;60856235;10482036;12267354;4592459;44;30;2;7;1;0,598873587451399;27613,5410326087;2520,93217893218;47001,3563218391;7,90760869565217;0,598732840549102;0,505807814149947;16537,0203804348
"Ecoles d'ingénieurs";"mMex4";"Toulouse INP";"Ecoles d'ingénieurs";TRUE;2022;NA;NA;NA;NA;NA;4148;13;3639;496;72;NA;NA;NA;NA;NA;107611113;74973700;61906904;9804359;11885282;17631915;44;30;2;7;1;0,575283558306845;29466,3507667032;2363,63524590164;NA;NA;NA;NA;16951,5071193866
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2006;NA;NA;NA;NA;NA;2161;70;1965;126;379;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2007;NA;NA;NA;NA;NA;2263;85;2056;122;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2008;NA;NA;NA;NA;NA;2394;58;2215;121;387;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2009;NA;NA;NA;NA;NA;2433;31;2285;117;337;NA;NA;NA;NA;NA;30334318,96;23710232,5;24951038,26;1898609,03;563068,61;3131752,22;NA;NA;NA;NA;NA;0,822534974096547;13097,7197582038;780,357184545828;NA;NA;NA;NA;10773,332582038
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2010;NA;133;NA;NA;NA;2545;15;2409;121;395;NA;NA;NA;NA;NA;31260176,05;24299938,86;24685885,4;1943123,96;791000,38;2422220,92;NA;NA;NA;NA;NA;0,789691182817251;12896,1122318482;763,506467583497;NA;NA;NA;NA;10183,9461221122
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2011;NA;134;NA;NA;NA;2697;32;2529;136;487;NA;NA;NA;NA;NA;32621164,22;24514578,04;26298062,27;2087212,91;618074,8;NA;NA;NA;NA;NA;NA;0,806165656524199;12737,6666224131;773,901709306637;NA;NA;NA;NA;10268,669375244
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2012;173;134;100;33;5;2724;76;2520;128;547;NA;NA;NA;NA;NA;34046687,95;25933772,4707001;26641528,84;2268841,03;578295,25;4878112,58;NA;NA;NA;NA;NA;0,782499868390282;13115,0569915254;832,907867107195;5782,9525;5,35439137134052;NA;NA;10262,5303697997
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2013;172;136;102;31;4;2741;67;2559;115;507;NA;NA;NA;NA;NA;33524202,72;26107306,920118;26611444,22;2216247,62;947278,01;2533330,74;NA;NA;NA;NA;NA;0,793797974623392;12766,261507997;808,554403502371;9287,03931372549;5,33130236100533;NA;NA;10133,8325285605
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2014;171;134;101;31;5;2806;54;2650;102;486;NA;NA;NA;NA;NA;34294067;25846959;26601010;2100730,73;1936262,28;2871523;NA;NA;NA;NA;NA;0,775673821363911;12682,7170857988;748,6567106201;19170,9136633663;5,1405325443787;NA;NA;9837,65162721893
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2015;199;133;133;29;36;2877;54;2700;123;552;229;124;68;37;101;35369006;25694827;27268919;NA;NA;2060275;NA;NA;NA;NA;NA;0,770983470669207;12842,776325345;NA;NA;6,13652868554829;0,546728971962617;0,535046728971963;9901,56826434277
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2016;206;128;131;32;38;2941;30;2786;125;642;225;111;70;44;101;36474121;26312758;28657532;NA;NA;2462615;22;17;6;0;1;0,785694931483064;12952,4577414773;NA;NA;5,89488636363636;0,531322505800464;0,522041763341067;10176,6803977273
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2017;203;121;126;39;40;2713;27;2686;0;588;238;112;81;45;100;35992613;25981500;28825597;2053357;1610230;1802186;22;17;6;0;1;0,800875362952948;13266,7206044969;756,858459270181;12779,6031746032;5,9343899741983;0,501133786848073;0,53968253968254;10624,9896793218
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2018;190;126;134;21;43;2692;27;2665;0;627;237;111;79;47;101;36113897;25493496;29021631;2018054;NA;3160720;22;17;7;0;1;0,80361393842376;13415,2663447251;749,648588410104;NA;6,2778603268945;0,531615925058548;0,555035128805621;10780,6950222883
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2019;187;127;135;18;42;2646;29;2617;0;647;230;105;78;47;97;35911371;25727163;29124878;1677187;NA;3353167;22;18;6;0;1;0,81102105514156;13571,9467120181;633,857520786092;NA;6,3869992441421;0,537170263788969;0,551558752997602;11007,134542706
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2020;187;127;131;24;36;2590;25;2565;0;626;229;108;82;39;99;37736987;26410247;29952622;1897669;NA;19502210;22;18;9;1;1;0,793720547960016;14570,2652509653;732,690733590734;NA;6,29343629343629;0,543269230769231;0,550480769230769;11564,7189189189
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2021;185;125;130;24;36;2641;34;2607;0;644;240;118;87;35;97;37524893;27320580;29881167;1873276;2446593;8527724;22;18;6;1;1;0,796302523767356;14208,5925785687;709,305566073457;18819,9461538462;6,09617569102613;0,522352941176471;0,564705882352941;11314,3381294964
"Ecoles d'ingénieurs";"PVnB4";"Université de technologie de Belfort-Montbéliard";"Ecoles d'ingénieurs";TRUE;2022;NA;NA;NA;NA;NA;2455;19;2436;0;583;NA;NA;NA;NA;NA;39611177;29575520;30427202;1995953;NA;7480049;22;18;6;0;1;0,768146879351755;16134,8989816701;813,015478615071;NA;NA;NA;NA;12393,9723014257
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2006;NA;NA;NA;NA;NA;3224;0;2954;270;658;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2007;NA;NA;NA;NA;NA;3334;0;3069;265;637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2008;NA;NA;NA;NA;NA;3493;18;3266;209;708;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2009;NA;NA;NA;NA;NA;3722;39;3429;254;800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2010;NA;184;NA;NA;NA;3799;23;3505;271;819;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2011;NA;190;NA;NA;NA;3955;13;3666;276;852;NA;NA;NA;NA;NA;59398789,23;45082226,18;45589927;4857124,94;4284648,45;6109201,82;NA;NA;NA;NA;NA;0,767522833225939;16145,3626610492;1228,09732996207;NA;NA;NA;NA;12391,9344930688
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2012;303;185;178;106;12;4050;31;3722;297;911;NA;NA;NA;NA;NA;61724728,81;45432429,0329111;45093624;5203298,23;4658657,7;11749761,21;NA;NA;NA;NA;NA;0,730560099159065;16446,7702664535;1284,76499506173;26172,2342696629;5,24913402611244;NA;NA;12015,3541167066
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2013;309;186;174;115;8;4052;24;3714;314;888;NA;NA;NA;NA;NA;63226713,05;46676096,8829953;44810328;5417640,35;4183550,21;17014646,85;NA;NA;NA;NA;NA;0,708724617149776;16914,5834804708;1337,0287142152;24043,3920114943;5,18994114499732;NA;NA;11987,7817014446
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2014;311;187;174;118;6;3974;17;3641;316;903;NA;NA;NA;NA;NA;62897824;47416271,29;43632731;5678916,08;4643746,16;4432751,49;NA;NA;NA;NA;NA;0,693708116198106;17194,5937670858;1429,01763462506;26688,1963218391;5,27610716238382;NA;NA;11928,0292509568
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2015;319;185;165;123;0;3940;22;3608;310;883;387;185;105;97;176;66249251;47968170;45979132;NA;NA;9959831;NA;NA;NA;NA;NA;0,694032480457779;18250,482369146;NA;NA;5,09641873278237;0,511331444759207;0,548158640226629;12666,4275482094
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2016;317;188;168;119;0;4182;39;3858;285;1064;397;186;111;100;177;64450992;47478846;47243982;NA;NA;4848285;28;16;1;12;0;0,733021797399177;16538,6173979985;NA;NA;4,8242237618681;0,511204481792717;0,556022408963585;12123,1670515781
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2017;307;183;163;114;0;4301;35;3985;281;1130;394;177;116;101;175;63066570;46810360;47622033;5279334;2572739;4453834;39;27;1;12;0;0,755107388906674;15688,2014925373;1227,46663566612;15783,6748466258;4,55223880597015;0,510699001426534;0,562054208273894;11846,2768656716
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2018;312;181;169;122;9;4291;33;3988;270;1091;381;172;109;100;176;61902915;46073488;47891817;5080324;2953596;4843435;39;15;1;12;0;0,773660125698442;15394,9054961452;1183,94872989979;17476,899408284;4,72519273812484;0,515151515151515;0,54978354978355;11910,4245212634
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2019;303;188;175;109;6;4343;48;4062;233;1086;367;164;109;94;174;59507871;45973519;48197477;5405621;1801637;6697903;39;27;1;12;0;0,809934487489899;14478,800729927;1244,67441860465;10295,0685714286;4,72019464720195;0,540298507462687;0,547761194029851;11726,8800486618
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2020;319;193;179;120;6;4219;30;3946;243;933;368;171;109;88;167;61980569;47273469;48800253;5091198;2695358;5828769;39;15;1;12;0;0,787347612120179;15588,6742957746;1206,73097890495;15057,8659217877;5,00503018108652;0,524017467248908;0,53566229985444;12273,7054828974
"Ecoles d'ingénieurs";"H3nOd";"Université de technologie de Compiègne";"Ecoles d'ingénieurs";TRUE;2021;306;191;178;109;6;4359;26;4106;227;996;363;165;121;77;163;64875029;49234463;50185088;7232554;2176199;6820591;39;15;3;15;0;0,773565557866648;15700,6362536302;1659,22321633402;12225,8370786517;4,7676669893514;0,52914798206278;0,542600896860987;12145,4714424008
