"Groupe";"pid";"Etablissement";"Groupe.détaillé";"Comparable";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.IMO.P.batiments";"kpi.IMO.S.état_satisfaisant";"kpi.IMO.S.énergie_ABC";"kpi.IMO.S.GES_ABC";"kpi.IMO.S.propriété_propre";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper";"kpi.K.dotPetu"
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2014;366;283;248;64;18;6519;5248;1077;194;254;NA;NA;NA;NA;NA;52997943;43922313;46668368;2659408,36;1283935,65;8805862;NA;NA;NA;NA;NA;0,880569421345277;8379,1214229249;407,947286393619;5177,15987903226;4,75889328063241;NA;NA;7378,3981027668
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2015;371;276;232;67;6;6716;5409;1077;230;356;328;96;71;161;226;53949991;45006434;47187344;NA;NA;2709889;NA;NA;NA;NA;NA;0,874649710321546;8317,91412272587;NA;NA;4,34782608695652;0,718168812589413;0,469241773962804;7275,26117792168
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2016;374;277;242;66;11;6789;5519;1082;188;312;335;106;79;150;240;54776073;45332393;48771102;NA;NA;2275195;24;14;5;10;2;0,890372371162862;8298,1477048932;NA;NA;4,3629753067717;0,72919605077574;0,472496473906911;7388,44144826541
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2017;361;263;236;64;17;6677;5518;969;190;269;324;89;88;147;238;55727536;45374400;49655214;2661494;1583316;2294613;25;14;5;10;2;0,891035519675587;8590,64837367042;398,60626029654;6708,96610169491;4,31632495760752;0,731386861313869;0,472992700729927;7654,57283798366
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2018;361;265;247;63;28;6954;5777;993;184;285;355;112;91;152;240;58588602;46470724;50063356;2853134;2800399;1834525;24;15;8;12;2;0,854489683846698;8654,15096011817;410,286741443773;11337,6477732794;4,32791728212703;0,705307262569832;0,495810055865922;7394,88271787297
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2019;365;266;245;65;29;6946;5739;1039;168;290;366;134;89;143;236;60077947;48406253;51180612;2455638;3307195;2618687;25;15;8;13;2;0,851903477993348;8863,66878135143;353,532680679528;13498,7551020408;4,35231631749779;0,686730506155951;0,500683994528044;7550,99026261434
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2020;378;271;244;78;24;7086;5835;1076;175;200;341;127;96;118;238;63871165;50793079;53760227;2141212;4214112;3863271;25;15;8;13;2;0,841697924251108;9241,95702503256;302,174992943833;17270,9508196721;4,26855737230502;0,707927677329624;0,474269819193324;7778,93604398785
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2021;391;275;243;89;20;6787;5578;1045;164;208;378;147;111;120;238;64369434;53360901;54518175;2472046;3837335;2588958;25;14;8;13;2;0,846957501599284;9719,07504152197;364,232503315161;15791,5020576132;4,4541748452363;0,667100130039012;0,491547464239272;8231,6435150234
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2022;NA;NA;NA;NA;NA;6346;5225;941;180;215;NA;NA;NA;NA;NA;66735288;55384430;55288028;2568115;4075744;4097933;25;14;8;13;2;0,828467661666493;10823,1086603957;404,682477150961;NA;NA;NA;NA;8966,59552384041
"Universités et assimilés";"RS4WF";"CY Cergy Paris Université";"Universités et assimilés";FALSE;2006;NA;NA;NA;NA;NA;19028;9261;9474;293;209;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
