uai - identifiant;exercice;Acquisitions d'immobilisations;Besoin en fonds de roulement;CAF / Acquisitions d'immobilisations;CAF / Produits encaissables;Capacité d'autofinancement CAF;Charges décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Produits encaissables;Ressources propres / Produits encaissables;Ressources propres encaissables;Résultat net comptable;Solde budgétaire;Trésorerie;Trésorerie en jours de charges décaissables;source;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
0772502B;2010;14551319.21;;29.2434757879249;5.3923377360883;4255311.51000001;74796836.16;94.7826736580281;10493543.8;13.2974359421304;60661113.75;76.8698629979428;7143650.24000001;81.0641079500976;16842607.78;78914039.11;17.5544228457121;5342921.09;3634134.41000001;;21425022.17;103.119441639228;COFISUP Comptes financiers;2009;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0772502B;Université Paris-Est Marne-la-Vallée;77083;Champs-sur-Marne;A24;Créteil;R11;Île-de-France
0860073M;2010;3622572.87;2425212.28;32.5390445492957;17.1389699340222;1178750.6;5698854.09;82.8610300659778;2941338.26;42.7668991251662;2310357.99;33.5924801458747;1459400.15;374.044797205889;5921185.34;6877604.69;70.4021875092679;4435445.59;774092.71;;3495973.06;220.842696044531;COFISUP Comptes financiers;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0860073M;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;86062;Chasseneuil-du-Poitou;A13;Poitiers;R75;Nouvelle-Aquitaine
0911101C;2010;26067240.91;;26.9878886848405;2.26822441150381;7034997.96000001;303082169.5;97.7197689978343;51163237.29;16.4960536524079;246945031.1;79.6200298884788;10603086.99;49.706335458972;41847511.08;310154406.43;16.1849780365218;48131231.28;3515221.40000001;;49696492.7;59.0293299058624;COFISUP Comptes financiers;2010;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0911101C;Université Paris-Sud;91471;Orsay;A25;Versailles;R11;Île-de-France
0921204J;2010;8113404.3;;69.7295320288674;11.2322860982689;5657438.85000001;44513494.09;88.3771462863415;22282680.77;44.2400619928989;21208035.72;42.1064603799202;7657336.75;182.549536578066;22571993.6599999;50367652.68;39.215967608201;15863331.18;3918977.48;;22660928.08;183.268787938907;COFISUP Comptes financiers;2012;D;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0921204J;Université Paris Nanterre;92050;Nanterre;A25;Versailles;R11;Île-de-France
0922605G;2010;;;;;;;;;;;;;;573490.16;;;;;;1471053.1;;COFISUP Comptes financiers;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0922605G;Institut national supérieur de formation et de recherche pour l'éducation des jeunes handicapés et les enseignements adaptés;92073;Suresnes;A25;Versailles;R11;Île-de-France
0930603A;2010;677318.11;;124.975964395814;17.2536767489475;846484.84;4060307.44;82.7601733199456;2187681.5;44.5909337616165;1700525.49;34.6613615759563;972101.2;123.182712883436;1389332.46;4906112.78;44.8129889912559;2042443.03;806484.84;;1705520.05;151.216928046217;COFISUP Comptes financiers;;D;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0930603A;Institut supérieur de mécanique de Paris;93070;Saint-Ouen;A24;Créteil;R11;Île-de-France
9710585J;2010;5894761.67;6667031.77;75.3448634336391;16.6909596460729;4441400.13;22168215.04;83.3090403539271;12504765.9;46.9934112917876;9366472.96;35.1995806784905;4900792.37;268.219759943288;16516536.99;26609615.17;42.0289136034131;10694189.48;134880.300000001;;9849505.22;159.950716501169;COFISUP Comptes financiers;2013;E;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;9710585J;Université des Antilles;97120;Pointe-à-Pitre;A32;Guadeloupe;R01;Guadeloupe
9830445S;2010;6333483.0;;27.4544693654345;19.0358079012602;1738824.15;7179131.05;78.5936631750672;4066461.94;44.5176634610383;2596340.39;28.423481989437;1871087.73;340.96836396377;6799601.58000001;9134490.95;44.8716515505443;4062583.84;986638.530000002;;7205754.69;361.335051600709;COFISUP Comptes financiers;2011;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;9830445S;Université de la Nouvelle-Calédonie;98818;Nouméa;A40;Nouvelle-Calédonie;R00;Collectivités d'outre-mer
0301687W;2011;479746.32;;224.550349859901;7.78409973362168;1077272.04;12760573.93;92.2047323620992;2042303.21;14.7571748663742;10399710.03;75.1457172083159;1313437.86;88.6349441494127;3141757.66;13839391.54;11.0068172838182;1406642.63;666320.710000001;;4318981.96;121.846675089167;COFISUP Comptes financiers;2011;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0301687W;Université de Nîmes;30189;Nîmes;A11;Montpellier;R76;Occitanie
0310133B;2011;98836.66;;3.5880006467233;0.097783390452727;3546.25999999971;3623102.38;99.9022166095473;1556817.16;42.9271571232222;1893651.71;52.2149206601939;323390.13;121.031217009109;1218079.14;3626648.64;48.4635765542482;1661479.78;;;1508067.89;149.845183342569;COFISUP Comptes financiers;;A;institut d'études politiques;GR20;instituts d'études politiques;0310133B;Institut d'études politiques de Toulouse;31555;Toulouse;A16;Toulouse;R76;Occitanie
0311384L;2011;18791284.64;7894886.32999996;75.8843808349657;4.44476506928103;14259650.0;306581176.9;95.5620443688441;38525852.71;12.0085951891999;261614937.48;81.5459661151041;13527323.37;43.3041488660294;36878435.9000002;320818980.93;14.5050553072337;43610584.28;12220705.33;;28983549.5700001;34.0336544816755;COFISUP Comptes financiers;2010;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0311384L;Université de Toulouse 3 - Paul Sabatier;31555;Toulouse;A16;Toulouse;R76;Occitanie
0330192E;2011;223592.36;137276.75;166.12876218132;7.88937805090481;371451.22;4336793.43;92.1106219490952;1676051.09;35.5982157809068;2139639.63;45.4445295233331;1106844.98;152.619586494808;1838554.5;4708244.65;63.5547825663647;2777805.56;183097.47;;1701277.75;141.224155562328;COFISUP Comptes financiers;;A;institut d'études politiques;GR20;instituts d'études politiques;0330192E;Institut d'études politiques de Bordeaux;33318;Pessac;A04;Bordeaux;R75;Nouvelle-Aquitaine
0333232J;2011;3384368.68;;;;;15668457.26;102.354286510669;6906892.1;45.1193120784424;7311509.3;47.7624762476214;588889.709999998;;;15308061.63;55.8937751676663;8480195.39;;;;;COFISUP Comptes financiers;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0333232J;Institut polytechnique de Bordeaux;33522;Talence;A04;Bordeaux;R75;Nouvelle-Aquitaine
0490970N;2011;11031303.37;;;;;123224638.75;101.251753348927;18110841.44;14.881394411265;103110712.52;84.7244555765202;;40.7788706818182;13958226.69;121701239.41;12.8016143430663;14907280.21;;;16781892.59;49.0281926868299;COFISUP Comptes financiers;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0490970N;Université d'Angers;49007;Angers;A17;Nantes;R52;Pays de la Loire
0511296G;2011;10784724.39;;72.5632169817553;4.42476441427262;7825742.95999998;169109389.27;95.6163793758533;20223640.31;11.4346771198753;146067993.67;82.5885112453547;9968529.72999998;54.3266163142002;25519835.85;176862364.35;13.0886786824752;21952672.06;5689453.14999998;;28152067.6;59.9301102070617;COFISUP Comptes financiers;2011;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0511296G;Université de Reims Champagne-Ardenne;51454;Reims;A19;Reims;R44;Grand Est
0593560Z;2011;8514030.8;;82.315695757173;4.70511228374858;7008383.69;141971302.32;95.3131204044588;20630249.55;13.850217805998;119013806.76;79.900494734779;8518751.78;;;148952527.96;15.8778637555928;22474881.2;4175222.42;;;;COFISUP Comptes financiers;2010;E;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0597065J;Université LILLE 2 - DROIT ET SANTÉ;;;;;;
0631833A;2011;778208.57;138544.44;125.888952880588;22.8772739498358;979678.62;3302643.75;77.1227260501642;1496669.11;34.9499402587013;1648816.15;38.5028497982977;1041280.86;407.744321197223;3740650.65;4282322.37;44.6435182786111;1574149.32;526268.0;;3602106.21;392.642480921534;COFISUP Comptes financiers;2012;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;IFMA CLERMONT FERRAND;;;;;;
0670190T;2011;1245529.57;;36.874444498335;6.83384685773382;459282.11;6261414.44;93.1661531422662;2708934.34;40.3073449284063;3239081.7;48.19562490141;482313.69;142.663228917331;2481315.56000001;6720696.55;54.4093238371252;2645655.81;;;3635599.4;209.028774016115;COFISUP Comptes financiers;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0670190T;Institut national des sciences appliquées de Strasbourg;67482;Strasbourg;A15;Strasbourg;R44;Grand Est
0671451N;2011;502793.68;;304.053294782862;34.395619951823;1528760.75;2915646.47;65.5991906490235;2219340.39;49.9329856540146;682177.23;15.3483197046152;1534541.41;270.155088864392;2187990.92;4444637.87;10.6622830444452;244037.14;1255172.52;;2493647.38;307.895029811348;COFISUP Comptes financiers;;C;autres établissements;GR60;autres établissements d'enseignement et de recherche;0671451N;BNU DE STRASBOURG;;;;;;
0690173N;2011;162465.14;;;;;3752525.83;106.182606589866;1721096.64;48.7006714163671;1902068.51;53.8215062211317;176672.22;271.008272953047;2824904.29;3534030.62;51.1705798406467;1336073.14;;;2871942.58;275.520909285786;COFISUP Comptes financiers;;A;institut d'études politiques;GR20;instituts d'études politiques;0690173N;Institut d'études politiques de Lyon;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0690187D;2011;2712677.2;2443964.96;46.5027519676872;8.80219712888497;1261469.55;12843497.9;89.6184932408554;6797391.64;47.4303808423395;5356110.12;37.3735038790715;2297255.62;312.106184717794;11134819.8;14331303.1;49.905637959747;6897750.27;468150.790000002;;8690854.84;243.602464590273;COFISUP Comptes financiers;2013;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0690187D;École centrale de Lyon;69081;Écully;A10;Lyon;R84;Auvergne-Rhône-Alpes
0692459Y;2011;;362740.9;;16.5741571768337;563725.71;2977748.93;87.5491004285905;2004381.84;58.9310351989289;841473.51;24.7402486128972;676942.6;443.202731803181;3665962.39;3401233.04;29.2219329963936;529557.8;331832.65;;3303221.49;399.34855636066;COFISUP Comptes financiers;;A;autres établissements;GR60;autres établissements d'enseignement et de recherche;0692459Y;École nationale supérieure des sciences de l'information et des bibliothèques;69266;Villeurbanne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0693735K;2011;169757.01;60328.7100000003;84.334785349954;7.06885982900696;143164.21;1880387.87;92.8458186385757;1346429.18;66.4811347969215;513131.05;25.3363006463778;152941.55;129.917329449695;678597.14;2025280.08;31.3642585177651;445165.52;143164.21;;618268.43;118.367406188384;COFISUP Comptes financiers;;A;autres établissements;GR60;autres établissements d'enseignement et de recherche;0693735K;École nationale supérieure des arts et techniques du théâtre;69385;Lyon 5e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0753471R;2011;7832540.57;;100.373532185866;10.6064577636286;7861797.63;65170947.26;87.9230084594348;29115505.61;39.2801233321946;30235517.19;40.7911461385709;8357512.56999999;40.1048005574131;7260188.44999996;74122744.89;62.296415720338;44770374.72;5905458.21;;11091047.02;61.2662097923908;COFISUP Comptes financiers;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753471R;Conservatoire national des arts et métiers;75103;Paris 3e;A01;Paris;R11;Île-de-France
0753486G;2011;490885.89;;102.644787773387;7.73588591359824;503868.78;6009525.88;92.2641140864017;2864862.72;43.984172149028;2850262.86;43.7600208306739;476206.69;105.432686346964;1760001.27;6513394.66;30.142556416196;1834745.86;147307.22;;3866691.64;231.633745855505;COFISUP Comptes financiers;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753486G;École pratique des hautes études;75114;Paris 14e;A01;Paris;R11;Île-de-France
0753488J;2011;;;;;;;;;;;;;;5837281.86;;;;;;6827874.7;;COFISUP Comptes financiers;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753488J;Institut national des langues et civilisations orientales;75113;Paris 13e;A01;Paris;R11;Île-de-France
0753494R;2011;;;;8.67071460860206;6870482.64;50581706.44;63.8353320920885;25304337.89;31.9346840244437;21808670.11;27.5230670718877;4753836.13;207.686666563162;29180961.1100001;79237790.08;60.5942869829214;47940125.65;15779844.74;;39130360.76;278.498509936787;COFISUP Comptes financiers;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753494R;Muséum national d'histoire naturelle;75105;Paris 5e;A01;Paris;R11;Île-de-France
0755026F;2011;500281.81;;161.321925736216;9.0871165121152;807064.249999999;8073245.25;90.9004707092783;4846710.36;54.5713947084087;3136226.08;35.3122465742899;;334.464360140677;7500591.13000003;8881411.93;18.7961109467422;1512134.44;394631.46;;8831664.4;393.81922455533;COFISUP Comptes financiers;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0755026F;Institut national d'histoire de l'art;75102;Paris 2e;A01;Paris;R11;Île-de-France
0772502B;2011;11085024.01;;2.04640251383631;0.273583935928758;226844.209999998;82566595.2;99.5788876033143;11447654.26;13.8063665349996;65337489.39;78.7998402560937;3749015.29;88.2683922080875;20244501.69;82915763.76;18.3643303390105;4900127.44;229649.449999998;;23470196.45;102.332798167751;COFISUP Comptes financiers;2009;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0772502B;Université Paris-Est Marne-la-Vallée;77083;Champs-sur-Marne;A24;Créteil;R11;Île-de-France
0830766G;2011;3062553.7;;69.7921770318673;10.1677617377946;2137422.9;18854599.66;89.6916922731499;7889378.63;37.5299254860087;9991383.38;47.5292024048218;2581206.44;116.519923945179;6102601.44;21021567.53;36.1274145667861;4816448.19;100279.910000004;;9066195.13000001;173.105253129517;COFISUP Comptes financiers;2012;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0830766G;Université de Toulon;83062;La Garde;A23;Nice;R93;Provence-Alpes-Côte d'Azur
0911101C;2011;;;;;;;;;;;;;;40363229.4800003;;;;;;49064037.98;;COFISUP Comptes financiers;2010;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0911101C;Université Paris-Sud;91471;Orsay;A25;Versailles;R11;Île-de-France
0930603A;2011;1180093.79;;49.8405181845758;13.8237567927893;588164.86;3666834.88;86.182356389732;1979113.89;46.5155111112745;1552982.14;36.5000510348502;485687.25;215.73517670913;2197403.53;4254739.64;50.9936640917469;1995374.42;370381.93;;2346575.48;230.380478108684;COFISUP Comptes financiers;;D;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0930603A;Institut supérieur de mécanique de Paris;93070;Saint-Ouen;A24;Créteil;R11;Île-de-France
0951376E;2011;5071686.52;;17.4526646414258;18.4430035444731;885144.44;3914206.37;81.5569964555268;2252352.63;46.9303603584669;1510974.83;31.4829002883413;1028491.26;709.966474557651;7719320.27;4799350.81;51.5636157466055;1889076.36;883224.35;;8036450.96;739.133829982501;COFISUP Comptes financiers;;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0951376E;École nationale supérieure de l'électronique et de ses applications de Cergy;95127;Cergy;A25;Versailles;R11;Île-de-France
0130221V;2012;601152.51;;82.8755917529149;9.64053366871951;498208.700000001;4674725.37;90.4577686449517;1690159.66;32.7052520514826;2772279.39;53.6446930741918;905944.890000001;292.881338011093;3803166.17;5167853.95;56.544153884225;2550654.15;299901.110000001;;4060477.09;312.696818893556;COFISUP Comptes financiers;;C;institut d'études politiques;GR20;instituts d'études politiques;0130221V;Institut d'études politiques d'Aix-en-Provence;13001;Aix-en-Provence;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
0311383K;2012;5499799.51;;11.0591745916204;0.383999342034206;608232.429999982;157751234.43;99.5941144180779;22989078.58;14.5138447298723;131892320.83;83.2684380510356;4732532.55999998;51.7624352969701;22682189.0700001;158394133.38;9.25106761678219;13852423.44;265742.909999989;;26712866.43;60.9607395437989;COFISUP Comptes financiers;2011;A;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0311383K;Université Toulouse - Jean Jaurès;31555;Toulouse;A16;Toulouse;R76;Occitanie
0380134P;2012;135469.36;1503999.2;;-0.266953968729759;;5434008.76;100.26695396873;2451749.97;45.2390697627113;2764627.52;51.0122071073959;327338.53;93.3898649070268;1409670.4;5419541.08;66.974196272722;3325314.18;;;;;COFISUP Comptes financiers;;A;institut d'études politiques;GR20;instituts d'études politiques;0380134P;Institut d'études politiques de Grenoble;38421;Saint-Martin-d'Hères;A08;Grenoble;R84;Auvergne-Rhône-Alpes
0381912X;2012;8918817.41;;41.8653122757447;3.25636478820353;3733890.75999999;110929772.19;96.7430027660897;24537967.03;21.3998150847325;79533843.85;69.3622886234677;8906762.99999999;58.4782493710446;18019385.78;114664388.14;34.2578978331432;30250550.02;667794.099999988;;19595641.43;63.5936662947184;COFISUP Comptes financiers;2010;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0381912X;Grenoble INP;38185;Grenoble;A08;Grenoble;R84;Auvergne-Rhône-Alpes
0595964M;2012;2767339.56;299094.340000001;91.8905383624111;2.98045542924591;2542923.21999998;82777031.41;97.0195445707541;9610166.32;11.2636795948563;64035585.99;75.0534693410209;3676343.57999998;21.5009020990934;4943835.68999997;85319954.63;100.621016504636;20139286.37;107688.529999979;;4644741.34999999;20.2001310933457;COFISUP Comptes financiers;2010;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0595964M;Université du Littoral Côte d'Opale;59183;Dunkerque;A09;Lille;R32;Hauts-de-France
0630095L;2012;165633.43;;363.497936376733;35.419816774542;602074.1;1097748.64;64.580183225458;659794.68;38.8154990796276;359219.16;21.132742347005;695337.32;412.938584556115;1259174.36;1699822.74;32.9165934090281;559523.74;342731.31;;1416716.89;464.603700533849;COFISUP Comptes financiers;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;ENS CHIMIE CLERMONT-FERRAND;;;;;;
0631833A;2012;788731.9;;113.817241321163;8.91937381390522;897712.889999998;9166839.53;91.0786392519701;1668069.09;16.5733743236446;7229642.82;71.8313032718023;1157409.04;135.327978278682;3445916.28000001;10064752.4;21.113697739847;1963627.01;517095.399999998;;4319702.7;169.643306933726;COFISUP Comptes financiers;2012;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;IFMA CLERMONT FERRAND;;;;;;
0670190T;2012;1028668.14;;85.8844447150856;12.9184730653155;883465.919999999;5815720.83;85.0403294535111;2329890.2;34.0688000662691;2923588.92;42.7501546602667;1283336.15;154.22051474228;2491398.49999999;6838779.75;51.5496605955178;3427282.49;26246.9499999998;;3633462.88;224.915651049227;COFISUP Comptes financiers;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0670190T;Institut national des sciences appliquées de Strasbourg;67482;Strasbourg;A15;Strasbourg;R44;Grand Est
0671451N;2012;822830.07;;225.445626944577;39.2792992118591;1855034.41;2865880.67;60.6833941923553;2135352.21;45.2148692914513;729630.31;15.4495070851713;1855698.02;404.75875556954;3222195.26;4722676.95;9.69507241015078;246611.97;1548117.46;;3658103.94;459.515789399563;COFISUP Comptes financiers;;C;autres établissements;GR60;autres établissements d'enseignement et de recherche;0671451N;BNU DE STRASBOURG;;;;;;
0673021V;2012;16468115.91;;62.4362025758906;2.47726149691972;10282066.2100001;404679688.2;97.4996065662695;58047621.05;13.9854318847993;319790805.17;77.0473008573044;9887385.10000007;30.9700779214944;34813781.8800001;415057765.31;22.4917643620703;67215814.51;2170854.10000006;;74140592.8799999;65.954912527285;COFISUP Comptes financiers;2009;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0673021V;Université de Strasbourg;67482;Strasbourg;A15;Strasbourg;R44;Grand Est
0681166Y;2012;5946527.98;;16.4271990863482;1.12375809775557;976847.99;85961014.35;98.888861886377;14077896.09;16.1950988203384;65089455.24;74.8783875825434;3300219.21;56.5484584559233;13502674.58;86926892.18;22.7743333317452;19146927.91;;;19424327.75;81.3480162242875;COFISUP Comptes financiers;2009;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0681166Y;Université de Haute-Alsace;68224;Mulhouse;A15;Strasbourg;R44;Grand Est
0690173N;2012;219729.97;;174.611064662686;9.47736199879122;383672.84;3664635.54;90.5226380012088;1554378.6;38.395755809492;2035903.45;50.2902264080979;646326.99;293.613093541084;2988847.16;4048308.38;56.7974201609612;1737497.5;266459.86;;3327927.18;326.923038245708;COFISUP Comptes financiers;;A;institut d'études politiques;GR20;instituts d'études politiques;0690173N;Institut d'études politiques de Lyon;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0692459Y;2012;;202386.88;;;;;;;;;;;;3437313.84;;;;;;3234926.96;;COFISUP Comptes financiers;;A;autres établissements;GR60;autres établissements d'enseignement et de recherche;0692459Y;École nationale supérieure des sciences de l'information et des bibliothèques;69266;Villeurbanne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0730858L;2012;2815480.99;;104.636440468382;3.02718076321184;2946019.08999996;94372883.23;96.9728192367881;13729330.48;14.107568162715;78483632.19;80.6458255477784;5428497.81999996;28.5132140452036;7474650.61;97318902.32;17.3633531792593;12862959.05;1069341.31999996;;9711099.26;37.0444942863488;COFISUP Comptes financiers;2011;A;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0730858L;Université de Savoie;73065;Chambéry;A08;Grenoble;R84;Auvergne-Rhône-Alpes
0751721N;2012;23447132.68;;9.79834605516486;0.839772746750715;2297431.20000005;271280296.69;99.1602272532493;38841759.37;14.1977052260692;227411812.44;83.1251192097909;5194034.40000005;32.7485503739033;24677879.0599997;273577727.89;16.4485099854669;43097117.86;;;41427143.8199999;54.9755067255857;COFISUP Comptes financiers;2009;D;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0751721N;Université Paris Descartes;75106;Paris 6e;A01;Paris;R11;Île-de-France
0753237L;2012;10214620.14;10127082.24;54.9083005841468;12.5714893170569;5608674.33;38871230.94;87.1274093932036;20473061.94;45.8890754432794;16701204.49;37.4346951658393;7475581.8;242.684696529447;26204035.7899999;44614239.32;63.2346609737064;22693724.17;3884860.11;;16076953.55;148.894262878725;COFISUP Comptes financiers;2015;D;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0753237L;École nationale supérieure d'arts et métiers;75113;Paris 13e;A01;Paris;R11;Île-de-France
0753364Z;2012;937426.54;;;;;8512123.34;112.586119809452;3847428.43;50.8882473709872;2722087.45;36.003856092798;936281.04;250.419404754537;5921113.5;7560544.19;87.2868146016352;3550550.94;;;6712802.29;283.901998111789;COFISUP Comptes financiers;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753364Z;Institut d'administration des entreprises de Paris;75105;Paris 5e;A01;Paris;R11;Île-de-France
0753471R;2012;5887821.77;;102.578486169088;6.69977084727576;6039638.44;83822302.07;92.9840786562264;29577284.34;32.8100811549106;32829504.41;36.4177688385977;10079918.3;44.2381015460937;10300387.53;90146940.51;64.3980483658901;56500823.71;1700912.72;;16776627.58;72.0522555412084;COFISUP Comptes financiers;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753471R;Conservatoire national des arts et métiers;75103;Paris 3e;A01;Paris;R11;Île-de-France
0753478Y;2012;60742.87;1569324.28;1001.15099928601;23.8351234496831;608127.85;2743545.07;107.531229548556;1409143.86;55.2303563493483;1095069.62;42.9204476964796;848336.89;288.242463463522;2196683.86;2551393.75;19.2905838230575;491028.75;;;627359.58;82.3202983867876;COFISUP Comptes financiers;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753478Y;École nationale des Chartes;75102;Paris 2e;A01;Paris;R11;Île-de-France
0781944P;2012;20807420.62;;;;;130299729.2;107.351452005044;21527280.82;17.735914479148;105887239.67;87.2384693135697;;-0.418074228814402;;121376773.92;16.996347945116;20199624.41;;;2598060.67;7.17807970087478;COFISUP Comptes financiers;2010;E;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0781944P;Université de Versailles Saint-Quentin-en-Yvelines;78646;Versailles;A25;Versailles;R11;Île-de-France
0801344B;2012;6160956.71;1495194.15999995;85.6684066848438;3.12779295408775;5277993.44999997;163550118.86;96.9214748477047;20386230.05;12.0810886400025;141305113.03;83.7388566504966;7902741.87999997;36.3041154392714;16493173.32;168744975.37;13.0822664921403;19194064.52;1770716.14999997;;14997979.16;33.0129536758198;COFISUP Comptes financiers;2011;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0801344B;Université de Picardie Jules-Verne;80021;Amiens;A20;Amiens;R32;Hauts-de-France
0940607Z;2012;4567307.66;;173.505443905217;8.06737067011904;7924527.42999999;90287890.63;91.9153712532962;8332889.21;8.48309335842699;81301370.76;82.7668652425497;7164029.30999999;35.1961912392281;8827194.06999996;98229370.56;12.6762925172102;11236538.38;5940383.86999999;;14322510.12;57.1073663059614;COFISUP Comptes financiers;2011;E;école normale supérieure;GR30;écoles normales supérieures;0940607Z;École normale supérieure de Cachan;94016;Cachan;A24;Créteil;R11;Île-de-France
0941111X;2012;9163011.75;;71.1330877645116;2.85830989825515;6517933.19000001;221491698.69;97.1307769337498;37677815.9;16.5228564012951;170367087.13;74.7110958773999;5209234.59000001;43.6234294664166;26839520.8200001;228034517.67;19.5473657915712;36638907.01;3667272.48000001;;35806408.66;58.1976985766915;COFISUP Comptes financiers;2010;E;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0941111X;Université Paris-Est Créteil Val-de-Marne;94028;Créteil;A24;Créteil;R11;Île-de-France
1260001S;2012;220986.4;;174.4988560382;6.66653462175764;385618.74;5330937.38;92.1606626539778;1442226.99;24.9330625406543;3821294.09;66.0621144887898;426325.3;133.710767692417;1980010.36;5784395.67;6.60426242937147;382016.67;264554.58;;2084058.17;140.73715140882;COFISUP Comptes financiers;;;école française à l'étranger;GR40;écoles françaises à l'étranger;1260001S;École française d'Athènes;;Athènes;A99;Étranger;R99;Étranger
9830445S;2012;4836611.14;;49.9438036277607;8.86535919417621;2415587.57;24822039.34;91.0984546426825;4833328.97;17.7386230807057;19179294.9;70.3892255827149;2448376.71;105.879143723894;7300378.53;27247486.73;17.4802971635396;4664784.12;1575987.48;;8605392.56;124.806075728345;COFISUP Comptes financiers;2011;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;9830445S;Université de la Nouvelle-Calédonie;98818;Nouméa;A40;Nouvelle-Calédonie;R00;Collectivités d'outre-mer
0130221V;2013;406678.56;;62.17709387;4.715207842;252860.91;5111854.89;95.32299106;1937003.74;36.12015485;2936309.67;54.75464904;579660.28;273.5950565;3884939.52;5362667.32;61.007209;2199555.73;69469.46;;4171741.7;293.7929664;COFISUP Comptes financiers;;C;institut d'études politiques;GR20;instituts d'études politiques;0130221V;Institut d'études politiques d'Aix-en-Provence;13001;Aix-en-Provence;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
0171463Y;2013;3865023.45;;65.94538825;3.712324057;2548804.72;66109121.71;96.28767594;10015540.61;14.58759553;55248693.35;80.46950472;2451593.6;31.3736802;5761351.23;68657926.43;18.13881247;12204355.85;1887162.16;;9369116.66;51.01991844;COFISUP Comptes financiers;2009;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0171463Y;Université de La Rochelle;17300;La Rochelle;A13;Poitiers;R75;Nouvelle-Aquitaine
