uai - identifiant;exercice;Acquisitions d'immobilisations;Besoin en fonds de roulement;CAF / Acquisitions d'immobilisations;CAF / Produits encaissables;Capacité d'autofinancement CAF;Charges décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Produits encaissables;Ressources propres / Produits encaissables;Ressources propres encaissables;Résultat net comptable;Solde budgétaire;Trésorerie;Trésorerie en jours de charges décaissables;source;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
0755026F;2013;794413.7;;;;;9017420.78;105.2768075;5559111.48;64.90165241;3344016.99;39.04081239;;268.327777;6721179.09;8565439.05;19.30361118;1653439.05;;;7524296.39;300.3904072;COFISUP Comptes financiers;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0755026F;Institut national d'histoire de l'art;75102;Paris 2e;A01;Paris;R11;Île-de-France
0870669E;2013;10503595.21;771920.09;22.51442799;1.726807945;2364824.38;134513857.4;98.22276853;18374262.38;13.41698882;112266080.3;81.97731771;5976386.52;22.39710449;8368669.22;136947735.6;16.67708995;21975184.81;167006.05;;7596749.13;20.33121152;COFISUP Comptes financiers;2009;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0870669E;Université de Limoges;87085;Limoges;A22;Limoges;R75;Nouvelle-Aquitaine
0900424X;2013;4878112.58;256825.03;38.49030417;5.51478127;1877600.37;32169087.58;94.48521873;5712037.78;16.77707326;25933772.47;76.17120499;2048712.85;75.28564459;6727418.04;34046687.95;21.75001316;6443583.39;847519.43;;6470593.01;72.41154968;COFISUP Comptes financiers;2010;B;université technologique;GR50;écoles d'ingénieurs;0900424X;Université de technologie de Belfort-Montbéliard;90094;Sevenans;A03;Besançon;R27;Bourgogne-Franche-Comté
0931827F;2013;;;;;8114472.66;123688082.8;;;;;;;63.52;22998298.34;;;;6118042.46;;28845294.47;83.95559;COFISUP Comptes financiers;2012;D;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0931827F;Université Paris 8 - Vincennes - Saint-Denis;93066;Saint-Denis;A24;Créteil;R11;Île-de-France
0932066R;2013;507980.98;;74.87814406;7.635266757;380366.73;4601341.73;92.36473324;3816637.03;76.6130146;765627.84;15.36878053;211255.88;137.5422618;1757997.08;4981708.46;24.3591023;1134270.28;199327.21;;1807790.24;141.4379815;COFISUP Comptes financiers;;E;autres établissements;GR60;autres établissements d'enseignement et de recherche;0932066R;École nationale supérieure Louis Lumière;93051;Noisy-le-Grand;A24;Créteil;R11;Île-de-France
0941111X;2013;;;;3.241971303;7080206.03;211264130.7;96.73620319;31417013.55;14.38560628;175910786.4;80.54818166;11806410.45;47.73113143;28010766.64;218392001.9;14.6188772;31926458.58;2726225.07;;35089035.87;59.79270059;COFISUP Comptes financiers;2010;E;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0941111X;Université Paris-Est Créteil Val-de-Marne;94028;Créteil;A24;Créteil;R11;Île-de-France
1340004B;2013;152234.02;18020.68;301.0891258;6.625436672;458360.08;6442971.26;93.13092463;1259969.29;18.21242099;5089066.72;73.56070204;542652.82;112.0542211;2005450.35;6918186.72;9.284986746;642352.72;336800.39;;1987429.67;111.0473184;COFISUP Comptes financiers;;;école française à l'étranger;GR40;écoles françaises à l'étranger;1340004B;Casa de Velázquez de Madrid;99134;Madrid;A99;Étranger;R99;Étranger
7200664J;2013;;7151697.0;;;1088347.0;51077851.0;;;;;;;121.0;17173462.0;;;;1038559.0;;10021765.0;70.63405;COFISUP Comptes financiers;2009;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;7200664J;Université de Corse Pasquale Paoli;2B096;Corte;A27;Corse;R94;Corse
9740478B;2013;12893863.92;;16.72854083;2.175712103;2156955.29;96893772.15;97.73635723;13314811.38;13.43059654;81555638.6;82.26484377;2750920.04;7.396576635;1990783.92;99137900.06;13.9999456;13050471.31;1026034.84;;7925345.22;29.44589952;COFISUP Comptes financiers;2013;E;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;9740478B;Université de La Réunion;97411;Saint-Denis;A28;La Réunion;R04;La Réunion
9830445S;2013;;;;;2263612.78;25947057.69;;;;;;;112.0;8038845.55;;;;1659776.95;;8886753.3069;123.2984;COFISUP Comptes financiers;2011;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;9830445S;Université de la Nouvelle-Calédonie;98818;Nouméa;A40;Nouvelle-Calédonie;R00;Collectivités d'outre-mer
