UAI,Etablissement,Type,Groupe,PerimEx,Association,Comparable
0310133B,Sciences Po Toulouse,Autre établissement,Instituts d'études politiques,,,TRUE
0490811R,Facultés libres de l'Ouest,École,Instituts catholiques,,,TRUE
0752139T,Facultés Libres de Philosophie et de Psychologie,École,Instituts catholiques,,,TRUE
0590344D,Institut catholique de Lille,École,Instituts catholiques,,,TRUE
0690195M,Institut catholique de Lyon,École,Instituts catholiques,,,TRUE
0753541S,Institut catholique de Paris,École,Instituts catholiques,,,TRUE
0352349N,Institut catholique de Rennes,École,Instituts catholiques,,,TRUE
0310155A,Institut catholique de Toulouse,École,Instituts catholiques,,,TRUE
0851415B,Institut catholique de Vendée,École,Instituts catholiques,,,TRUE
0940608A,École nationale vétérinaire d'Alfort,École,Ecoles vétérinaires,,,TRUE
0310153Y,École nationale vétérinaire de Toulouse,École,Ecoles vétérinaires,,,TRUE
0694123G,École normale supérieure de Lyon,École,Ecoles normales supérieures,,,TRUE
0352440M,École normale supérieure de Rennes,École,Ecoles normales supérieures,,,TRUE
0912423P,École normale supérieure Paris-Saclay,École,Ecoles normales supérieures,,,TRUE
0753455Y,École normale supérieure PSL,École normale supérieure,Ecoles normales supérieures,,,TRUE
1340004B,Casa de Velázquez de Madrid,Autre établissement,Ecoles françaises à l'étranger,,,TRUE
1260001S,École française d'Athènes,Autre établissement,Ecoles françaises à l'étranger,,,TRUE
0751794T,École française d'Extrême-Orient,Autre établissement,Ecoles françaises à l'étranger,,,TRUE
1270009V,École française de Rome,Autre établissement,Ecoles françaises à l'étranger,,,TRUE
3010001R,Institut français d'archéologie orientale du Caire,Autre établissement,Ecoles françaises à l'étranger,,,TRUE
0511931X,Centre national des arts du cirque,École,Ecoles des arts du spectacle,,,TRUE
0753495S,Conservatoire national supérieur de musique et de danse de Paris,École,Ecoles des arts du spectacle,,,TRUE
0693735K,École nationale supérieure des arts et techniques du théâtre,École,Ecoles des arts du spectacle,,,TRUE
0753457A,École nationale supérieure des métiers de l'image et du son,École,Ecoles des arts du spectacle,,,TRUE
0932066R,École nationale supérieure Louis Lumière,École,Ecoles des arts du spectacle,,,TRUE
0754595M,Pôle supérieur d'enseignement artistique Paris - Boulogne-Billancourt,École,Ecoles des arts du spectacle,,,TRUE
0440112H,Audencia,École,Ecoles de commerce,,,TRUE
0290127F,Brest Business School,École,Ecoles de commerce,,,TRUE
0210099U,Burgundy School of Business,École,Ecoles de commerce,,,TRUE
0760168V,École de management de Normandie,École,Ecoles de commerce,,,TRUE
0922369A,École de management Léonard De Vinci,École,Ecoles de commerce,,,TRUE
0783054W,École des hautes études commerciales de Paris,École,Ecoles de commerce,,,TRUE
0490076S,École supérieure des sciences commerciales d'Angers,École,Ecoles de commerce,,,TRUE
0951214D,École supérieure des sciences économiques et commerciales,École,Ecoles de commerce,,,TRUE
0900362E,École supérieure des technologies et des affaires de Belfort,École,Ecoles de commerce,,,TRUE
0590350K,Edhec Business School,École,Ecoles de commerce,,,TRUE
0753547Y,ESCP Business School,École,Ecoles de commerce,,,TRUE
0171427J,Excelia Group,École,Ecoles de commerce,,,TRUE
0753364Z,IAE Paris - Sorbonne Business School,École,Ecoles de commerce,,,TRUE
0542455A,ICN Business School,École,Ecoles de commerce,,,TRUE
0593202K,Institut d'économie scientifique et de gestion,École,Ecoles de commerce,,,TRUE
0771077C,Institut européen d'administration des affaires,École,Ecoles de commerce,,,TRUE
0750252S,Institut supérieur du commerce de Paris,École,Ecoles de commerce,,,TRUE
0752792C,IPAG Business School,École,Ecoles de commerce,,,TRUE
0951798N,Itescia,École,Ecoles de commerce,,,TRUE
0333326L,KEDGE Business School,École,Ecoles de commerce,,,TRUE
0340137P,MBS,École,Ecoles de commerce,,,TRUE
0760167U,Neoma Business School,École,Ecoles de commerce,,,TRUE
0352305R,Rennes School of Business,École,Ecoles de commerce,,,TRUE
0590346F,Skema Business School,École,Ecoles de commerce,,,TRUE
0310156B,Toulouse Business School,École,Ecoles de commerce,,,TRUE
0101059X,Y SCHOOLS,École,Ecoles de commerce,,,TRUE
0212198A,Agrosup Dijon,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0753237L,Arts et Métiers Sciences et Technologies,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0333232J,Bordeaux INP,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0597139P,Centrale Lille Institut,École,Ecoles d'ingénieurs,,,TRUE
0690187D,Centrale Lyon,École,Ecoles d'ingénieurs,,,TRUE
0133774G,Centrale Marseille,École,Ecoles d'ingénieurs,,,TRUE
0440100V,Centrale Nantes,École,Ecoles d'ingénieurs,,,TRUE
0912341A,CentraleSupélec,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0942283W,Centre des hautes études de la construction,École,Ecoles d'ingénieurs,,,TRUE
0755372G,CESI,École,Ecoles d'ingénieurs,,,TRUE
0753375L,Chimie ParisTech-PSL,,Ecoles d'ingénieurs,,,TRUE
0632086A,Clermont Auvergne INP,École,Ecoles d'ingénieurs,,,TRUE
0753471R,Conservatoire national des arts et métiers,Grand établissement,Ecoles d'ingénieurs,,,TRUE
0352337A,ECAM Rennes Louis de Broglie,École,Ecoles d'ingénieurs,,,TRUE
0951819L,ECAM-EPMI,École,Ecoles d'ingénieurs,,,TRUE
0690194L,École catholique des arts et métiers,École,Ecoles d'ingénieurs,,,TRUE
0754431J,École centrale d'électronique,École,Ecoles d'ingénieurs,,,TRUE
0492466P,École d'ingénieur d'agro-développement international,École,Ecoles d'ingénieurs,,,TRUE
