uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Droits d'inscription;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Formation continue, diplômes propres et VAE;Ressources propres;Ressources propres / Produits encaissables;Résultat net comptable;Solde budgétaire;Taxe d'apprentissage;Trésorerie;Trésorerie en jours de charges décaissables;Valorisation;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region;Capacité d'autofinancement;Charges de fonctionnement décaissables;Produits de fonctionnement encaissables;Résultat net comptable hors SIE;Subventions de la région;Subventions Union Européenne
9740478B;2010;;;;;;;;;;;;;;;;;;;;;;;;10724422.68;;;2013;E;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;9740478B;Université de La Réunion;97411;Saint-Denis;A28;La Réunion;R04;La Réunion;;;;;;
0133774G;2011;1069711.17;0;0;655451.72;3589245.01;;3.20339343326281;96.7966065667372;6359256.13;78.1971513471392;381013.14;1286286.7;15.8169373429078;201096.5;496831.51;76.9510098086419;1682625.00999999;141533;5553579.33;68.2900758372747;;;443219.4;2826460.61;129.261717156962;;2014;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0133774G;École centrale de Marseille;13213;Marseille 13e;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;260510.76;7871826.57;8132337.33;;47395.39;66525.38
0331766R;2011;6303706.63;0;0;1956736.92;2072288.07;;2.32162350264217;97.6010033830273;8797233.24;10.8043008558144;117997.08;69290067.31;85.0984295986305;1743527.83;3304546.35999999;39.5036541844851;8720441.83999997;933406.18;9388186.34999996;11.5300784972538;1078065.00999999;;346827.19;9941437.79;45.0347732096947;252522.42;2011;A;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0331766R;Université Bordeaux-Montaigne;33318;Pessac;A04;Bordeaux;R75;Nouvelle-Aquitaine;1890345.67999999;79470092.76;81423438.29;;532695.02;344527.21
0340112M;2011;789582.46;0;0;221749.5;1667608.79;;5.55087709223434;94.5397717057029;2763600.82;24.0912860225499;324002.47;7598573.19;66.239450632226;126229.72;1236179.06;116.282335038269;3503007.94;5311;3101723.09;27.0388174671107;327949.460000003;;77082.72;4801412.07;159.382855118658;;2011;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0340112M;École nationale supérieure de chimie de Montpellier;34172;Montpellier;A11;Montpellier;R76;Occitanie;636761.710000003;10845008.04;11471371.09;;307885.61;166005.12
0341087X;2011;6400001;0;0;3839338;3719940;;3.34743880284967;96.6525611971503;16799375;12.0191459812927;550016;112170725;80.2527664631831;3397111;8229967;40.979190551908;15377784.0;4926710;21252866;15.2054049019593;1628896;;1535178;24586051.0;65.5176629381664;24855;2009;E;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0342321N;Université MONTPELLIER 1;;;;;;;4678775;135093011;139771786;;1229799;1911065
0341088Y;2011;13625827.04;0;0;1799426.37;7146526.33;;3.54418172573108;96.4363422926186;29859750.67;16.1932661096154;2280057.71;144515986.58;78.3725843409246;1884250.13;10590472.92;37.7482293026094;18646036.83;1084271.65;29396770.92;15.9421871780473;1356122.39000001;;1602545.57;28439073.75;57.5738794713526;1098.85;2010;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0342321N;Université MONTPELLIER 2 - SCIENCES TECHNIQUES DU LANGUEDOC;;;;;;;6535332.77000001;177824851.2;184396096.92;;2356865.21;2014245.6
0350937D;2011;4142461.69;0;0;1158627.56;2678067.93;1458047.89000002;1.21655503004763;98.7787022344226;11587113.08;12.5891101064774;312708.84;77169220.11;83.8424378953051;2627843.72;2718324.56999998;48.7282688210879;12306144.52;722004.02;12448152.66;13.5246081898925;96933.8799999819;;110302.31;10848096.63;42.9548806228207;1774897.62;2010;B;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0350937D;Université Rennes 2;35238;Rennes;A14;Rennes;R53;Bretagne;1119726.53999998;90916671.87;92040763.66;;1181181.53;805044.73
0381912X;2011;;0;0;1951168.79;12841194.62;3540496.75000002;4.52108932546794;95.4720337516595;23464393.07;21.104738594694;3239567.84;77691726.5;69.878797796365;2502301.43;10217493.47;74.2308533046252;21887062.3000001;3417903.46;37384264.87;33.6247835297686;901862.909999998;;3129383.45;18346565.55;62.2231159814324;309733.61;2010;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0381912X;Grenoble INP;38185;Grenoble;A08;Grenoble;R84;Auvergne-Rhône-Alpes;5026578.11;106146461.71;111180685.63;;3416768.11;3955348.57
0421095M;2011;;0;0;1869605.77;4057132.92;;4.75700548657609;95.3809292352829;14840538.13;13.1317979170346;688576.52;91369093.65;80.8488521887858;2387587.12;8660392.23999999;44.8605009799485;13432245.6599999;2600566.74;19205891.77;16.9945245469396;3421435.04999999;;697428.83;16049024.54;53.5999191295234;102913.23;2009;A;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0421095M;Université Jean Monnet;42218;Saint-Étienne;A10;Lyon;R84;Auvergne-Rhône-Alpes;5375998.14999999;107792118.5;113012233.54;;2568798.95;1839004.37
0490970N;2011;11031303.37;0;0;1591930.34;4362709.3;;;101.251753348927;18110841.44;14.881394411265;571116.76;103110712.52;84.7244555765202;2759977.71;;40.7788706818182;13958226.69;2112518.13;15579723.32;12.8016143430663;;;861277.04;16781892.59;49.0281926868299;28531.92;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0490970N;Université d'Angers;49007;Angers;A17;Nantes;R52;Pays de la Loire;;123224638.75;121701239.41;;1848136.26;771082.75
