uai - identifiant;Libellé;sigle;type d'établissement;Secteur d'établissement;Établissements d'enseignement supérieur accrédités à délivrer le doctorat;localisation;Site internet;Géolocalisation;siret;siren;Identifiant wikidata;Elément wikidata;Identifiant ETER;Identifiant ROR;Elément ROR;Identifiant GRID;Elément GRID;Identifiant OrgRef;Identifiant ISNI;Elément ISNI;Identifiant Funding Data;Elément Funding Data;rattachement_identifiants;rattachement;dernier_decret_legifrance;Code commune;Commune;Code unité urbaine;Unité urbaine;Code département;Département;Code académie;Académie;Code région;Région;Ancien code région;Ancienne région;Mention distribution;Adresse;Lieu dit;Boite postale;Code postal;Localité;Pays;Numéro de téléphone;qualification_court;Qualification;compte_facebook;compte_twitter;compte_instagram;compte_flickr;compte_pinterest;flux_rss;compte_linkedin;compte_viadeo;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_youtube;compte_vimeo;compte_dailymotion;compte_googleplus;implantations;mooc;Page Wikipédia en français;Page Wikipédia en anglais;English name;Site internet en anglais;Site internet en chinois;Site internet en espagnol;Site internet en allemand;Site internet en italien;Identifiant interne;Anciens codes uai;Identifiant dataESR;article;universités fusionnées;Vague contractuelle
0673048Z;Haute École des arts du Rhin;HEAR;École;Public;;Grand Est>Strasbourg>Bas-Rhin>Strasbourg;http://www.hear.fr/;48.582371,7.759293;20002812400028;200028124;Q21041502;https://www.wikidata.org/entity/Q21041502;;02yqzaa38;https://ror.org/02yqzaa38;grid.466383.c;https://www.grid.ac/institutes/grid.466383.c;;;;;;;;"https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=B2E86251D1A1DB48A7D4EC6E460E63C2.tpdila12v_2?cidTexte=JORFTEXT000033027586&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000033027259";67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R44;Grand Est;R42;Alsace;;1  RUE DE L'ACADEMIE;;CS10032;67082;STRASBOURG CEDEX;France;0369063777;;;https://www.facebook.com/HEAR.fr;;;https://www.flickr.com/photos/78100299@N05/;;;;;;;;;;https://vimeo.com/user36911264;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0673048Z;;https://fr.wikipedia.org/wiki/Haute_%C3%89cole_des_arts_du_Rhin;;;;;;;;67Ocz;;;à la;;
0593202K;Institut d'économie scientifique et de gestion;Ieseg;École;Privé;;Hauts-de-France>Lille>Nord>Lille;http://www.ieseg.fr/;50.635423,3.045179;78370705200032;783707052;Q3156522;https://www.wikidata.org/entity/Q3156522;;04jqeag92;https://ror.org/04jqeag92;grid.468935.5;https://www.grid.ac/institutes/grid.468935.5;25165447;0000 0004 0639 0409;http://isni.org/isni/0000000406390409;;;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=91459&cbo=1;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;R31;Nord-Pas-de-Calais;;3 RUE DE LA DIGUE;;;59800;LILLE;France;0320545892;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/pages/IESEG-School-of-Management/358733860458;https://twitter.com/IESEG;;;;;;;;;;;https://www.youtube.com/user/iesegchannel;;;https://plus.google.com/114411456536224055951;;;https://fr.wikipedia.org/wiki/I%C3%89SEG_School_of_Management;https://en.wikipedia.org/wiki/IESEG_School_of_Management;;;;;;;0XJbA;;;à l';;
0492062A;Institut des relations publiques et de la communication d’Angers;Ircom;École;Privé;;Pays de la Loire>Nantes>Maine-et-Loire>Angers>Les Ponts-de-Cé;http://www.ircom.fr/;47.443423,-0.532193;32949147600019;329491476;Q60431685;https://www.wikidata.org/entity/Q60431685;;;;;;;;;;;;;;49246;Les Ponts-de-Cé;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;R52;Pays de la Loire;;23 RUE EDOUARD GUINEL;;CS10059;49136;LES PONTS DE CE CEDEX;France;;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/IrcomGroupe;https://twitter.com/Ircom_Groupe;;;;;https://www.linkedin.com/school/1044488?pathWildcard=1044488;http://www.viadeo.com/profile/0021dsoe73pjr18t;;;;;https://www.youtube.com/user/groupeIrcom;;;https://plus.google.com/+IrcomAngers%C3%A9colesup%C3%A9rieure/;;;;;;;;;;;A2hM0;;;à l';;
0130221V;Institut d'études politiques d'Aix-en-Provence;IEP d'Aix-en-Provence;Autre établissement;Public;;Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille - Aix-en-Provence>Aix-en-Provence;http://www.sciencespo-aix.fr/;43.5312,5.44707;19133346700014;191333467;Q1139065;https://www.wikidata.org/entity/Q1139065;;;;;;;;;;;0134009M;Aix-Marseille université;;13001;Aix-en-Provence;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;;25 RUE GASTON DE SAPORTA;;;13625;AIX EN PROVENCE CEDEX 1;France;0442170160;;;https://www.facebook.com/SciencesPo.Aix;https://twitter.com/Sciences_Po_Aix;;;;;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0130221V;;https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_d%27Aix-en-Provence;;;;;;;;G8QBG;;;à l';;Vague C
0352317D;Institut d'études politiques de Rennes;IEP de Rennes;Autre établissement;Public;;Bretagne>Rennes>Ille-et-Vilaine>Rennes;http://www.sciencespo-rennes.fr/;48.1213,-1.66862;19352317200016;193523172;Q3151965;https://www.wikidata.org/entity/Q3151965;;;;;;;;;;;0350936C;Université de Rennes 1;;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;R53;Bretagne;;104 BD DE LA DUCHESSE ANNE;;;35042;RENNES CEDEX;France;0299843939;;;https://www.facebook.com/SciencesPoRennes;https://twitter.com/Sc_Po_Rennes;;;;http://www.sciencespo-rennes.fr/index.php?rawdata=1&textes=0&view=rss&cat=7749;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0352317D;;https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Rennes;;;;;;;;JaqkX;;;à l';;Vague B
0310133B;Institut d'études politiques de Toulouse;IEP de Toulouse;Autre établissement;Public;;Occitanie>Toulouse>Haute-Garonne>Toulouse;http://www.sciencespo-toulouse.fr/;43.607,1.43855;19311386700017;193113867;Q1664755;https://www.wikidata.org/entity/Q1664755;;022scmy89;https://ror.org/022scmy89;grid.462373.7;https://www.grid.ac/institutes/grid.462373.7;1849006;0000 0001 2242 5542;http://isni.org/isni/0000000122425542;;;0311382J;Université Toulouse 1 - Capitole;;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Occitanie;R73;Midi-Pyrénées;;2 TER RUE DES PUITS CREUSES;;;31042;TOULOUSE CEDEX;France;0561110270;;;;https://twitter.com/SciencesPo_Tlse;;;;;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0310133B;;https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Toulouse;https://en.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Toulouse;;;;;;;dQaK0;;;à l';;Vague A
0771077C;Institut européen d'administration des affaires;INSEAD;École;Privé;;Île-de-France>Créteil>Seine-et-Marne>Fontainebleau;https://www.insead.edu/;48.4054,2.68529;77570339000010;775703390;Q1136829;https://www.wikidata.org/entity/Q1136829;;00ghzk478;https://ror.org/00ghzk478;grid.424837.e;https://www.grid.ac/institutes/grid.424837.e;286363;0000 0004 1791 3287;http://isni.org/isni/0000000417913287;;;;;;77186;Fontainebleau;UU77406;Fontainebleau;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;R11;Île-de-France;;Boulevard DE CONSTANCE;;;77305;Fontainebleau;France;;;;https://www.facebook.com/INSEAD/;https://twitter.com/insead;https://www.instagram.com/insead/;;;;https://www.linkedin.com/school/5176;;;;;;https://www.youtube.com/insead;;;;;;https://fr.wikipedia.org/wiki/Institut_europ%C3%A9en_d%27administration_des_affaires;https://en.wikipedia.org/wiki/INSEAD;;;;;;;dxA6r;;;à l';;
;Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement;Institut Agro;Grand établissement;Public;Oui;Île-de-France>Paris>Paris 16e;;48.86275,2.28215;13002622200013;130026222;;;;;;;;;;;;;;;https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000039676677&categorieLien=id;75116;Paris 16e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;42 rue Scheffer;;;75016;Paris;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MihlE;;;à l';;
0333232J;Bordeaux INP;IPB;Grand établissement;Public;Oui;Nouvelle-Aquitaine>Bordeaux>Gironde>Bordeaux>Talence;https://www.ipb.fr/;44.8079,-0.605471;13000635600013;130006356;Q3152470;https://www.wikidata.org/entity/Q3152470;FR0050;;;;;;;;;;0333298F;Université de Bordeaux;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030820446&dateTexte=&categorieLien=id;33522;Talence;UU33701;Bordeaux;D033;Gironde;A04;Bordeaux;R75;Nouvelle-Aquitaine;R72;Aquitaine;;1 AVENUE DU DOCTEUR ALBERT SCHWE;;;33402;TALENCE CEDEX;France;0540003726;;;https://www.facebook.com/groupeIPB;https://twitter.com/BordeauxINP;;;;;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0333232J;;https://fr.wikipedia.org/wiki/Institut_polytechnique_de_Bordeaux;;;;;;;;S88MV;;;à l';;Vague B
0930603A;Institut supérieur de mécanique de Paris;Supméca;École;Public;;Île-de-France>Créteil>Seine-Saint-Denis>Paris>Saint-Ouen;http://www.supmeca.fr/;48.9198,2.33287;19930603600013;199306036;Q1267711;https://www.wikidata.org/entity/Q1267711;FR0261;04dtfqt68;https://ror.org/04dtfqt68;grid.472518.d;https://www.grid.ac/institutes/grid.472518.d;;0000 0001 2177 0539;http://isni.org/isni/0000000121770539;;;;;http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000429626&fastPos=1&fastReqId=1463704545&oldAction=rechExpTexteJorf;93070;Saint-Ouen;UU00851;Paris;D093;Seine-Saint-Denis;A24;Créteil;R11;Île-de-France;R11;Île-de-France;;3 RUE FERNAND HAINAUT;;;93407;ST OUEN CEDEX;France;0149452971;;;https://www.facebook.com/pages/Supm%C3%A9ca-Institut-Sup%C3%A9rieur-de-M%C3%A9canique-de-Paris/276132662428779;https://twitter.com/supmeca;;;;http://www.supmeca.fr/flux/actu.php;;;;;;;;;http://www.dailymotion.com/user/webmestre_supmeca/1;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0930603A;;https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_de_m%C3%A9canique_de_Paris;https://en.wikipedia.org/wiki/Supm%C3%A9ca;;;;;;;OYA17;;;à l';;Vague E
0753559L;Institut supérieur d'électronique de Paris;ISEP;École;Privé;;Île-de-France>Paris>Paris 6e;http://www.isep.fr/;48.845577,2.328141;78428074500026;784280745;Q3152556;https://www.wikidata.org/entity/Q3152556;FR0205;00yw34h52;https://ror.org/00yw34h52;grid.466360.1;https://www.grid.ac/institutes/grid.466360.1;;0000 0000 8830 3129;http://isni.org/isni/0000000088303129;;;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=95615&cbo=1;75106;Paris 6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;28 RUE NOTRE DAME DES CHAMPS;;;75006;PARIS;France;0149545200;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;;;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_d%27%C3%A9lectronique_de_Paris;https://en.wikipedia.org/wiki/Institut_sup%C3%A9rieur_d%27%C3%A9lectronique_de_Paris;;;;;;;VAP7f;;;à l';;
0783690M;Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire;ISIPCA;École;Privé;;Île-de-France>Versailles>Yvelines>Paris>Versailles;https://www.isipca.fr/;48.817017,2.141886;13001727000302;130017270;Q3152629;https://www.wikidata.org/entity/Q3152629;;;;;;;;;;;;;;78646;Versailles;UU00851;Paris;D078;Yvelines;A25;Versailles;R11;Île-de-France;R11;Île-de-France;;36 RUE DU PARC DE CLAGNY;;;78000;VERSAILLES;France;;;;https://www.facebook.com/IsipcaParis/;https://twitter.com/ISIPCAParis;https://www.instagram.com/isipcaparis/;;;;https://www.linkedin.com/school/5151702;;;;;;https://www.youtube.com/user/IsipcaParis;;;;;;;;;;;;;;2bx2x;0781110H;;à l';;
0340137P;Montpellier Business School;;École;Privé;;Occitanie>Montpellier>Hérault>Montpellier;http://www.montpellier-bs.com/;43.621491,3.833542;79026124200016;790261242;Q3117571;https://www.wikidata.org/entity/Q3117571;;037tw3m02;https://ror.org/037tw3m02;grid.468923.2;https://www.grid.ac/institutes/grid.468923.2;38734536;0000 0000 8794 7387;http://isni.org/isni/0000000087947387;;;;;;34172;Montpellier;UU34701;Montpellier;D034;Hérault;A11;Montpellier;R76;Occitanie;R91;Languedoc-Roussillon;;2300 AVENUE DES MOULINS;;;34185;Montpellier CEDEX 4;France;;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/MontpellierBS;https://twitter.com/Montpellier_BS;;;;http://www.montpellier-bs.com/rss-fr.xml;https://www.linkedin.com/school/838863?pathWildcard=838863;http://fr.viadeo.com/en/company/montpellier-business-school;;;;;http://www.youtube.com/GroupeSupdeCoMontp;;;https://plus.google.com/+MontpellierBS;;;https://fr.wikipedia.org/wiki/Montpellier_Business_School;https://en.wikipedia.org/wiki/Groupe_Sup_de_Co_Montpellier_Business_School;;http://www.montpellier-bs.com/international/;;;;;5HerM;;;à;;
0754595M;Pôle supérieur d'enseignement artistique Paris—Boulogne-Billancourt;PSPBB;École;Public;;Île-de-France>Paris>Paris 1er;https://www.pspbb.fr/fr/;48.878559,2.320845;20003918800012;200039188;Q30263695;https://www.wikidata.org/entity/Q30263695;;;;;;;;;;;;;;75101;Paris 1er;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;14 RUE DE MADRID;;;75008;PARIS;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1v4lV;;;au;;
0755890V;Sorbonne Université;;Université;Public;Oui;Île-de-France>Paris>Paris 6e;https://www.sorbonne-universite.fr/;48.851304,2.340246;13002338500011;130023385;Q41497113;https://www.wikidata.org/entity/Q41497113;;02en5vm52;https://ror.org/02en5vm52;grid.462844.8;https://www.grid.ac/institutes/grid.462844.8;;0000 0001 2308 1657;http://isni.org/isni/0000000123081657;501100005737;http://dx.doi.org/10.13039/501100005737;;;https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000034455357&categorieLien=id;75106;Paris 6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;21 rue de l'École-de-médecine;;;75006;PARIS;France;;;;https://www.facebook.com/sorbonne.univ/;https://twitter.com/Sorbonne_Univ_;https://www.instagram.com/sorbonne_univ/;;;;;;;;;;https://www.youtube.com/channel/UCJRfmVMO9aeYDHDAJuEv6bw?view_as=subscriber;;;;;;https://fr.wikipedia.org/wiki/Sorbonne_Universit%C3%A9;https://en.wikipedia.org/wiki/Sorbonne_University;Sorbonne University;https://www.sorbonne-universite.fr/en;;;;;bxPQe;0751720M,0751722P;;à;Oui;
0561718N;Université de Bretagne-Sud;UBS;Université;Public;Oui;Bretagne>Rennes>Morbihan>Lorient;http://www.univ-ubs.fr/;47.7461,-3.39083;19561718800600;195617188;Q1125958;https://www.wikidata.org/entity/Q1125958;FR0108;04ed7fw48;https://ror.org/04ed7fw48;grid.267180.a;https://www.grid.ac/institutes/grid.267180.a;13954905;0000 0001 2168 0285;http://isni.org/isni/0000000121680285;;;;;;56121;Lorient;UU56601;Lorient;D056;Morbihan;A14;Rennes;R53;Bretagne;R53;Bretagne;;27 RUE ARMAND GUILLEMOT;;BP 92116;56321;LORIENT CEDEX;France;;;;https://www.facebook.com/pages/Universit%C3%A9-de-Bretagne-Sud/27514648#!/pages/Universit%C3%A9-de-Bretagne-Sud/27514648;https://twitter.com/ubs_jpo;;;;http://www.univ-ubs.fr/les-flux-rss-de-l-universite-18896.kjsp?RH=UBS_FR;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0561718N;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Bretagne-Sud;https://en.wikipedia.org/wiki/University_of_Southern_Brittany;University of South Brittany;http://www.univ-ubs.fr/home-188100.kjsp?RH=UBS_FR&RF=UBS_EN;;;;;5tVy4;;;à l';;Vague B
0597065J;Université de Lille;;Université;Public;Oui;Hauts-de-France>Lille>Nord>Lille;https://www.univ-lille.fr/;50.6314,3.07497;13002358300011;130023583;Q3551621;https://www.wikidata.org/entity/Q3551621;;02kzqn938;https://ror.org/02kzqn938;grid.503422.2;https://www.grid.ac/institutes/grid.503422.2;;0000 0001 2242 6780;http://isni.org/isni/0000000122426780;;;;;https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000035543008;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;R31;Nord-Pas-de-Calais;;42 RUE PAUL DUEZ;;;59800;LILLE;France;;;;;https://twitter.com/univ_lille;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Lille;https://en.wikipedia.org/wiki/University_of_Lille;University of Lille;https://www.univ-lille.fr/?L=1;;;;;Szqy5;0593559Y,0593560Z,0593561A;;à l';Oui;
0542493S;Université de Lorraine;;Grand établissement;Public;Oui;Grand Est>Nancy-Metz>Meurthe-et-Moselle>Nancy;http://www.univ-lorraine.fr/;48.6962,6.17634;13001550600012;130015506;Q4173330;https://www.wikidata.org/entity/Q4173330;FR0105;04vfs2w97;https://ror.org/04vfs2w97;grid.29172.3f;https://www.grid.ac/institutes/grid.29172.3f;;;;;;;;;54395;Nancy;UU54701;Nancy;D054;Meurthe-et-Moselle;A12;Nancy-Metz;R44;Grand Est;R41;Lorraine;;34 COURS LEOPOLD;;;54052;NANCY CEDEX;France;;;;https://www.facebook.com/UnivLorraine;https://twitter.com/Univ_Lorraine/;;;;http://factuel.univ-lorraine.fr/feed//rss-articles.xml;https://www.linkedin.com/company/universit-de-lorraine;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0542493S;https://www.fun-mooc.fr/universities/lorraine/;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Lorraine;;University of Lorraine;;;;;;t6Cq5;0572081C,0541507V,0541508W,0541564G,0570140T;;à l';Oui;Vague C
0301687W;Université de Nîmes;UNÎMES;Université;Public;Oui;Occitanie>Montpellier>Gard>Nîmes;http://www.unimes.fr/;43.8429,4.35671;13000375900011;130003759;Q2496121;https://www.wikidata.org/entity/Q2496121;FR0030;044t4x544;https://ror.org/044t4x544;grid.48959.39;https://www.grid.ac/institutes/grid.48959.39;13879594;0000 0004 0647 1372;http://isni.org/isni/0000000406471372;;;;;"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=3976DDB631865D070704985BB39F3EC7.tpdjo05v_1?cidTexte=JORFTEXT000025790064&categorieLien=id";30189;Nîmes;UU30601;Nîmes;D030;Gard;A11;Montpellier;R76;Occitanie;R91;Languedoc-Roussillon;SITE VAUBAN;RUE DU DOCTEUR GEORGES SALAN;;;30021;NIMES CEDEX 1;France;;;;https://www.facebook.com/unimesfr;https://twitter.com/unimesfr;;;;http://www.unimes.fr/_plugins/web/zoneItem/fd1178-e8c1-457-a939-85d1a4f8cf31/rss.xml;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0301687W;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_N%C3%AEmes;https://en.wikipedia.org/wiki/University_of_N%C3%AEmes;University of Nîmes;;;;;;HAU8L;;;à l';;Vague A
0640251A;Université de Pau et des Pays de l'Adour;UPPA;Université;Public;Oui;Nouvelle-Aquitaine>Bordeaux>Pyrénées-Atlantiques>Pau;http://www.univ-pau.fr/;43.3113,-0.363823;19640251500270;196402515;Q572968;https://www.wikidata.org/entity/Q572968;FR0140;01frn9647;https://ror.org/01frn9647;grid.5571.6;https://www.grid.ac/institutes/grid.5571.6;7235991;0000 0001 2289 818X;http://isni.org/isni/000000012289818X;;;;;;64445;Pau;UU64601;Pau;D064;Pyrénées-Atlantiques;A04;Bordeaux;R75;Nouvelle-Aquitaine;R72;Aquitaine;;AVENUE DE L UNIVERSITE;;BP 576;64012;PAU UNIVERSITE CEDEX;France;0559407000;;;https://www.facebook.com/pages/Universit%C3%A9-de-Pau-et-des-Pays-de-lAdour-UPPA/154751851238234?v=wall;https://twitter.com/universite_uppa;;;;http://www.univ-pau.fr/live/Flux-RSS;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0640251A;;https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Pau_et_des_Pays_de_l%27Adour;https://en.wikipedia.org/wiki/University_of_Pau_and_Pays_de_l'Adour;University of Pau and Pays de l'Adour;;;;;;Mz286;;;à l';;Vague B
9710585J;Université des Antilles;;Université;Public;Oui;Guadeloupe>Pointe-à-Pitre - Les Abymes>Pointe-à-Pitre;http://www.univ-ag.fr/;16.2221,-61.5362;19971585500011;199715855;Q829169;https://www.wikidata.org/entity/Q829169;FR0282;02ryfmr77;https://ror.org/02ryfmr77;grid.412130.5;https://www.grid.ac/institutes/grid.412130.5;;0000 0001 2197 3053;http://isni.org/isni/0000000121973053;;;;;;97120;Pointe-à-Pitre;UU9A701;Pointe-à-Pitre - Les Abymes;D971;Guadeloupe;A32;Guadeloupe;R01;Guadeloupe;R01;Guadeloupe;;;CAMPUS DE FOUILLOLE;BP 250;97157;POINTE A PITRE CEDEX;France;0590483030;;;;https://twitter.com/UnivAntilles;;;;http://www.univ-ag.fr/fr/rss.xml;;;;https://fr.scribd.com/UniversiteAntilles;;;https://www.youtube.com/user/UnivAntillesGuyaneTV;;;https://plus.google.com/111372496716352018171/about;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=9710585J;;https://fr.wikipedia.org/wiki/Universit%C3%A9_des_Antilles;https://en.wikipedia.org/wiki/University_of_the_French_West_Indies;University of the French West Indies and Guiana;;;;;;z3hdL;;;à l';;Vague B
0762762P;Université Le Havre Normandie;;Université;Public;Oui;Normandie>Seine-Maritime>Le Havre;http://www.univ-lehavre.fr/;49.4959,0.129114;19762762300097;197627623;Q1784954;https://www.wikidata.org/entity/Q1784954;FR0220;05v509s40;https://ror.org/05v509s40;grid.9916.7;https://www.grid.ac/institutes/grid.9916.7;13958688;0000 0001 2173 1046;http://isni.org/isni/0000000121731046;;;;;;76351;Le Havre;UU76701;Le Havre;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;25 RUE PHILIPPE LEBON;;BP 1123;76063;LE HAVRE CEDEX;France;0235195500;;;https://www.facebook.com/univ.lehavre;;;;;http://www.univ-lehavre.fr/ulh_services/spip.php?page=backend;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0762762P;;https://fr.wikipedia.org/wiki/Universit%C3%A9_du_Havre;https://en.wikipedia.org/wiki/University_of_Le_Havre;University of Le Havre;;;;;;LsQ24;;;à l';;Vague B
0595964M;Université du Littoral Côte d'Opale;ULCO;Université;Public;Oui;Hauts-de-France>Lille>Nord>Dunkerque;http://www.univ-littoral.fr/;51.0391,2.37216;19594403800205;195944038;Q3551755;https://www.wikidata.org/entity/Q3551755;FR0127;02gdcg342;https://ror.org/02gdcg342;grid.440918.0;https://www.grid.ac/institutes/grid.440918.0;13408767;0000 0001 2113 4241;http://isni.org/isni/0000000121134241;;;;;;59183;Dunkerque;UU59602;Dunkerque;D059;Nord;A09;Lille;R32;Hauts-de-France;R31;Nord-Pas-de-Calais;;1 PLACE DE L'YSER;;BP 1022;59375;DUNKERQUE CEDEX 1;France;0328237373;;;https://www.facebook.com/pages/Universit%C3%A9-du-Littoral-C%C3%B4te-dOpale-ULCO/11878222481491;https://twitter.com/Univ_Littoral;;;;;;;;;;;;;;https://plus.google.com/+lille3/posts;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0595964M;;https://fr.wikipedia.org/wiki/Universit%C3%A9_du_Littoral-C%C3%B4te-d%E2%80%99Opale;https://en.wikipedia.org/wiki/University_of_the_Littoral_Opal_Coast;University of the Littoral Opal Coast;;;;;;yH19Y;;;à l';;Vague E
